cohort_russia,purchase_month,user_id
01.11.2019,01.11.2019,64147
01.11.2019,01.11.2019,51191
01.11.2019,01.11.2019,64147
01.11.2019,01.11.2019,118398
01.11.2019,01.11.2019,44865
01.11.2019,01.11.2019,64147
01.11.2019,01.11.2019,64147
01.11.2019,01.11.2019,44865
01.11.2019,01.11.2019,64147
01.11.2019,01.11.2019,103134
01.11.2019,01.11.2019,44865
01.11.2019,01.11.2019,44865
01.11.2019,01.11.2019,103134
01.11.2019,01.11.2019,103134
01.11.2019,01.11.2019,127471
01.11.2019,01.11.2019,116778
01.11.2019,01.11.2019,126397
01.11.2019,01.12.2019,44865
01.11.2019,01.12.2019,44865
01.11.2019,01.12.2019,44865
01.11.2019,01.12.2019,44865
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,44865
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,44865
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,44865
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,44865
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.03.2020,64147
01.11.2019,01.04.2020,44865
01.11.2019,01.04.2020,44865
01.11.2019,01.04.2020,44865
01.11.2019,01.04.2020,44865
01.11.2019,01.05.2020,103134
01.11.2019,01.05.2020,103134
01.11.2019,01.05.2020,103134
01.11.2019,01.05.2020,103134
01.11.2019,01.05.2020,103134
01.11.2019,01.05.2020,103134
01.12.2019,01.12.2019,45324
01.12.2019,01.12.2019,45324
01.12.2019,01.12.2019,45324
